Name,NetWorth,Country,Source,Rank,Age,Industry
Gina Rinehart,$23.6 B,Australia,mining,70,67,Metals & Mining
Andrew Forrest,$20.4 B,Australia,mining,87,59,Metals & Mining
Mike Cannon-Brookes,$14.2 B,Australia,software,145,41,Technology
Scott Farquhar,$14 B,Australia,software,150,41,Technology
Harry Triguboff,$11.2 B,Australia,real estate,195,88,Real Estate
Anthony Pratt,$10.8 B,Australia,manufacturing,205,60,Manufacturing
Frank Lowy,$5.2 B,Australia,shopping malls,539,90,Real Estate
"John, Alan & Bruce Wilson",$4.8 B,Australia,retailing,589,N/A,Fashion & Retail
Kerry Stokes,$4.3 B,Australia,"construction equipment, media",665,80,Diversified
John Gandel,$3.8 B,Australia,shopping malls,775,86,Real Estate
Clive Palmer,$3.8 B,Australia,mining,775,67,Metals & Mining
Vivek Chaand Sehgal,$3.5 B,Australia,auto parts,859,64,Automotive
Fiona Geminder,$3.4 B,Australia,manufacturing,891,56,Manufacturing
Jack Cowin,$3.2 B,Australia,fast food,956,78,Food & Beverage
James Packer,$3.2 B,Australia,casinos,956,53,Gambling & Casinos
Richard White,$3 B,Australia,software,1008,66,Technology
Heloise Pratt,$2.8 B,Australia,"manufacturing, investment",1111,58,Manufacturing
Bob Ell,$2.3 B,Australia,real estate,1362,76,Real Estate
Lindsay Fox,$2.3 B,Australia,"logistics, real estate",1362,83,Logistics
David Hains,$2.3 B,Australia,Investments,1362,90,Finance & Investments
Michael Hintze,$2.3 B,Australia,investment,1362,67,Finance & Investments
Gretel Packer,$2.3 B,Australia,casinos,1362,55,Media & Entertainment
Lang Walker,$2.3 B,Australia,real estate,1362,75,Real Estate
Gerry Harvey,$2.2 B,Australia,retail,1444,81,Fashion & Retail
Brett Blundy,$2 B,Australia,"retail, agribusiness",1580,61,Fashion & Retail
Solomon Lew,$2 B,Australia,retail,1580,76,Fashion & Retail
David Teoh & family,$1.9 B,Australia,telecom,1664,65,Telecom
Anthony Eisen,$1.8 B,Australia,fintech,1750,49,Finance & Investments
Nick Molnar,$1.8 B,Australia,fintech,1750,30,Finance & Investments
John Hancock,$1.7 B,Australia,mining,1833,45,Metals & Mining
Bianca Rinehart,$1.7 B,Australia,mining,1833,44,Metals & Mining
Ginia Rinehart,$1.7 B,Australia,mining,1833,34,Metals & Mining
Hope Welker,$1.7 B,Australia,mining,1833,35,Metals & Mining
John Van Lieshout,$1.5 B,Australia,real estate,2035,75,Real Estate
Nigel Austin,$1.4 B,Australia,retail,2141,50,Fashion & Retail
Angela Bennett,$1.4 B,Australia,mining,2141,77,Metals & Mining
Judith Neilson,$1.4 B,Australia,investments,2141,75,Finance & Investments
Kerr Neilson,$1.4 B,Australia,Investments,2141,71,Finance & Investments
Michael Heine,$1.3 B,Australia,financial services,2263,71,Finance & Investments
Terry Snow,$1.3 B,Australia,"airports, real estate",2263,77,Real Estate
Sam Tarascio,$1.2 B,Australia,real estate,2378,76,Real Estate
Bruce Mathieson,$1.1 B,Australia,hotels,2524,77,Food & Beverage
Alan Rydge,$1 B,Australia,entertainment,2674,68,Media & Entertainment
Manny Stul,$1 B,Australia,toys,2674,71,Manufacturing
