Name,NetWorth,Country,Source,Rank,Age,Industry
David Thomson & family,$41.8 B,Canada,media,33,63,Media & Entertainment
Joseph Tsai,$11.6 B,Canada,e-commerce,189,57,Technology
Tobi Lutke,$9.8 B,Canada,e-commerce,232,40,Technology
Jim Pattison,$9.6 B,Canada,diversified,241,92,Diversified
David Cheriton,$8.8 B,Canada,Google,269,70,Technology
Anthony von Mandl,$8.7 B,Canada,alcoholic beverages,274,N/A,Food & Beverage
Pan Dong,$8.3 B,Canada,consumer goods,297,56,Fashion & Retail
Huang Chulong,$6.8 B,Canada,real estate,384,62,Real Estate
Emanuele (Lino) Saputo & family,$5.7 B,Canada,cheese,486,84,Food & Beverage
Mark Scheinberg,$4.9 B,Canada,online gambling,574,47,Gambling & Casinos
Chip Wilson,$4.9 B,Canada,Lululemon,574,64,Fashion & Retail
Garrett Camp,$4.4 B,Canada,Uber,655,42,Technology
Alain Bouchard,$4.2 B,Canada,retail,680,72,Fashion & Retail
James Irving,$4.2 B,Canada,diversified,680,93,Diversified
Peter Gilgan,$3.7 B,Canada,homebuilding,807,70,Construction & Engineering
Daryl Katz,$3.6 B,Canada,pharmacies,831,59,Diversified
Yuan Liping,$3.6 B,Canada,pharmaceuticals,831,50,Healthcare
Apoorva Mehta,$3.5 B,Canada,grocery delivery service,859,34,Technology
Carlo Fidani,$3.2 B,Canada,real estate,956,66,Real Estate
Lawrence Stroll,$3.2 B,Canada,fashion investments,956,61,Fashion & Retail
Bob Gaglardi,$2.9 B,Canada,hotels,1064,80,Real Estate
Jean Coutu & family,$2.8 B,Canada,drugstores,1111,93,Fashion & Retail
Mitchell Goldhar,$2.7 B,Canada,real estate,1174,59,Real Estate
Bruce Flatt,$2.6 B,Canada,money management,1205,55,Finance & Investments
Hal Jackman,$2.6 B,Canada,"insurance, investments",1205,88,Finance & Investments
Stephen Smith,$2.6 B,Canada,finance and investments,1205,69,Finance & Investments
Charles Bronfman,$2.5 B,Canada,liquor,1249,89,Food & Beverage
Zhang Ning & family,$2.4 B,Canada,chemicals,1299,47,Manufacturing
Barry Zekelman,$2.3 B,Canada,steel,1362,54,Manufacturing
Serge Godin,$2.2 B,Canada,information technology,1444,71,Technology
Catherine Phillips,$2.2 B,Canada,investments,1444,N/A,Finance & Investments
John Phillips,$2.2 B,Canada,investments,1444,70,Finance & Investments
Jacques D'Amours,$2.1 B,Canada,retail,1517,64,Fashion & Retail
Mark Leonard & family,$2.1 B,Canada,software,1517,64,Technology
Robert Miller,$2 B,Canada,electronics components,1580,75,Technology
Pierre Karl Péladeau,$2 B,Canada,media,1580,59,Media & Entertainment
Arthur Irving,$1.9 B,Canada,oil,1664,91,Energy
Jack Cockwell,$1.8 B,Canada,"real estate, private equity",1750,80,Finance & Investments
N. Murray Edwards,$1.8 B,Canada,oil & gas,1750,61,Energy
Carl Hansen,$1.8 B,Canada,biotech,1750,47,Healthcare
Stephen Jarislowsky,$1.8 B,Canada,money management,1750,95,Finance & Investments
Stewart Butterfield,$1.7 B,Canada,messaging software,1833,48,Technology
Philip Fayer,$1.7 B,Canada,online payments,1833,N/A,Finance & Investments
Peter Szulczewski,$1.7 B,Canada,e-commerce,1833,39,Technology
Ryan Cohen,$1.6 B,Canada,investments,1931,35,Finance & Investments
Michael Lee-Chin,$1.6 B,Canada,mutual funds,1931,70,Finance & Investments
Terence (Terry) Matthews,$1.4 B,Canada,telecom,2141,78,Telecom
Clayton Zekelman,$1.4 B,Canada,steel,2141,52,Manufacturing
Brandt Louie,$1.3 B,Canada,drugstores,2263,77,Food & Beverage
Gerald Schwartz,$1.3 B,Canada,finance,2263,79,Finance & Investments
Guy Laliberté,$1.2 B,Canada,Cirque du Soleil,2378,61,Media & Entertainment
Bill Malhotra,$1.2 B,Canada,real estate,2378,71,Real Estate
Qiu Dongxu,$1.2 B,Canada,pharmaceutical,2378,61,Healthcare
Dani Reiss,$1.2 B,Canada,down jackets,2378,47,Fashion & Retail
Yu Xuefeng,$1.2 B,Canada,pharmaceuticals,2378,58,Healthcare
Alan Zekelman,$1.2 B,Canada,steel,2378,58,Manufacturing
Naomi Azrieli,$1.1 B,Canada,Real estate,2524,55,Real Estate
Sharon Azrieli,$1.1 B,Canada,Real estate,2524,60,Real Estate
Richard Fortin,$1.1 B,Canada,convinience stores,2524,72,Fashion & Retail
Zhao Tongtong,$1.1 B,Canada,Hotels,2524,54,Service
Ronnen Harary,$1 B,Canada,toys,2674,49,Manufacturing
Mao Huihua,$1 B,Canada,pharmaceuticals,2674,59,Healthcare
Michael McCain,$1 B,Canada,packaged meats,2674,N/A,Food & Beverage
Anton Rabie,$1 B,Canada,toys,2674,49,Manufacturing
