Name,NetWorth,Country,Source,Rank,Age,Industry
Zhong Shanshan,$68.9 B,China,"beverages, pharmaceuticals",13,66,Food & Beverage
Ma Huateng,$65.8 B,China,internet media,15,49,Technology
Colin Zheng Huang,$55.3 B,China,e-commerce,21,41,Technology
Jack Ma,$48.4 B,China,e-commerce,26,56,Technology
Wang Wei,$39 B,China,package delivery,35,50,Service
He Xiangjian,$37.7 B,China,home appliances,37,78,Manufacturing
Zhang Yiming,$35.6 B,China,TikTok,39,37,Technology
Qin Yinglin & family,$33.5 B,China,pig breeding,44,55,Food & Beverage
William Lei Ding,$33 B,China,online games,45,49,Technology
Yang Huiyan & family,$29.6 B,China,real estate,50,39,Real Estate
Hui Ka Yan,$27.7 B,China,real estate,53,62,Real Estate
Pang Kang,$26.4 B,China,soy sauce,57,65,Food & Beverage
Wang Xing,$26.1 B,China,e-commerce,60,42,Technology
Jiang Rensheng & family,$24.4 B,China,vaccines,69,67,Healthcare
Zhang Zhidong,$23.4 B,China,internet media,73,49,Technology
Lei Jun,$23 B,China,smartphones,75,51,Technology
Richard Qiangdong Liu,$22.4 B,China,e-commerce,77,47,Technology
Li Shufu,$19.7 B,China,automobiles,89,57,Automotive
Zhong Huijuan,$19.7 B,China,pharmaceuticals,89,60,Healthcare
Sun Piaoyang,$18.9 B,China,pharmaceuticals,96,62,Healthcare
Wu Yajun,$18.3 B,China,real estate,100,57,Real Estate
Fan Hongwei & family,$18.2 B,China,petrochemicals,102,54,Energy
Chen Bang,$17.9 B,China,hospitals,105,55,Healthcare
Su Hua,$17.8 B,China,video streaming,107,39,Media & Entertainment
Wang Chuanfu,$16.3 B,China,"batteries, automobiles",118,55,Automotive
Chen Zhiping,$15.9 B,China,e-cigarettes,121,45,Manufacturing
Wei Jianjun & family,$15.5 B,China,automobiles,128,57,Automotive
Zuo Hui,$15.5 B,China,real estate services,128,50,Real Estate
Wang Jianlin,$14.8 B,China,real estate,137,66,Real Estate
Robin Li,$14.7 B,China,internet search,138,52,Technology
Cheng Yixiao,$14.1 B,China,video streaming app,148,37,Media & Entertainment
Liang Wengen,$14.1 B,China,construction equipment,148,64,Manufacturing
Zhang Bangxin,$13.3 B,China,education,158,41,Service
Wang Wenyin,$13.2 B,China,"mining, copper products",161,53,Metals & Mining
Wang Liping & family,$13.1 B,China,hydraulic machinery,163,55,Manufacturing
Huang Shilin,$12.9 B,China,batteries,166,54,Energy
Dang Yanbao,$12.7 B,China,coal,169,48,Metals & Mining
Lu Zhongfang,$12.5 B,China,education,173,78,Automotive
Ma Jianrong & family,$12.5 B,China,"textiles, apparel",173,57,Fashion & Retail
Zhang Tao,$12.5 B,China,e-commerce,173,48,Fashion & Retail
Yu Renrong,$12.3 B,China,semiconductors,181,55,Manufacturing
Liu Yonghao & family,$12.1 B,China,agribusiness,182,69,Service
Cen Junda,$11.6 B,China,pharmaceuticals,189,56,Healthcare
Wang Laisheng,$10.8 B,China,electronics components,205,56,Technology
Wang Laichun,$10.7 B,China,electronics components,208,53,Technology
Chen Jianhua,$10.6 B,China,chemicals,210,50,Manufacturing
Leng Youbin,$10.6 B,China,infant formula,210,52,Food & Beverage
Li Zhenguo & family,$10.5 B,China,solar wafers and modules,213,53,Manufacturing
Cai Kui,$10.4 B,China,real estate,216,58,Real Estate
Qi Shi & family,$10.4 B,China,financial information,216,51,Technology
Liu Hanyuan,$10.3 B,China,agribusiness,219,57,Food & Beverage
Larry Xiangdong Chen,$10.2 B,China,education,223,49,Service
Yao Liangsong,$9.6 B,China,furniture,241,56,Manufacturing
Ding Shizhong & family,$9.4 B,China,sports apparel,247,50,Fashion & Retail
Ding Shijia,$9.3 B,China,sports apparel,251,57,Fashion & Retail
Lu Xiangyang,$9.1 B,China,"automobiles, batteries",256,58,Automotive
Tse Ping,$8.9 B,China,pharmaceuticals,264,69,Healthcare
Zong Qinghou,$8.8 B,China,beverages,269,75,Food & Beverage
Cheng Xue,$8.7 B,China,soy sauce,274,51,Food & Beverage
Liu Jincheng & family,$8.7 B,China,lithium batteries,274,56,Technology
Xu Shihui,$8.7 B,China,"snacks, beverages",274,63,Food & Beverage
Zheng Shuliang & family,$8.6 B,China,aluminum products,288,75,Metals & Mining
Kei Hoi Pang,$7.8 B,China,real estate,316,55,Real Estate
Zhao Yan,$7.6 B,China,biotech,327,54,Diversified
Pei Zhenhua,$7.5 B,China,batteries,334,62,Energy
Zhang Jindong,$7.4 B,China,appliance retailer,339,58,Fashion & Retail
Lai Meisong,$7.3 B,China,package delivery,344,50,Logistics
Wang Zhenhua,$7.2 B,China,real estate,352,59,Real Estate
Li Hua,$7.1 B,China,financial services,358,43,Finance & Investments
Guo Guangchang,$6.9 B,China,conglomerate,380,54,Diversified
Shi Yonghong & family,$6.8 B,China,restaurants,384,52,Food & Beverage
Li Haiyan,$6.7 B,China,restaurants,391,N/A,Food & Beverage
