Name,NetWorth,Country,Source,Rank,Age,Industry
Anders Holch Povlsen,$13.2 B,Denmark,fashion retail,161,48,Fashion & Retail
Kjeld Kirk Kristiansen,$8.7 B,Denmark,Lego,274,73,Manufacturing
Sofie Kirk Kristiansen,$8.7 B,Denmark,Lego,274,45,Manufacturing
Thomas Kirk Kristiansen,$8.7 B,Denmark,Lego,274,42,Manufacturing
Agnete Kirk Thinggaard,$8.7 B,Denmark,Lego,274,37,Manufacturing
Niels Peter Louis-Hansen,$8.2 B,Denmark,medical devices,304,73,Healthcare
André Kasprzak,$1.3 B,Denmark,shoes,2263,34,Fashion & Retail
Anna Kasprzak,$1.3 B,Denmark,shoes,2263,31,Fashion & Retail
Martin Moller Nielsen,$1.3 B,Denmark,aircraft leasing,2263,56,Logistics
Benedicte Find,$1.2 B,Denmark,medical devices,2378,N/A,Healthcare
