Name,NetWorth,Country,Source,Rank,Age,Industry
Bernard Arnault & family,$150 B,France,LVMH,3,72,Fashion & Retail
Francoise Bettencourt Meyers & family,$73.6 B,France,L'Oréal,12,67,Fashion & Retail
François Pinault & family,$42.3 B,France,luxury goods,32,84,Fashion & Retail
Alain Wertheimer,$34.5 B,France,Chanel,41,72,Fashion & Retail
Gerard Wertheimer,$34.5 B,France,Chanel,41,70,Fashion & Retail
Emmanuel Besnier,$19.1 B,France,cheese,94,50,Food & Beverage
Patrick Drahi,$11.8 B,France,telecom,186,57,Telecom
Rodolphe Saadé & family,$10.9 B,France,shipping,203,51,Logistics
Xavier Niel,$8.8 B,France,"internet, telecom",269,53,Telecom
Alain Merieux & family,$8.2 B,France,pharmaceuticals,304,83,Healthcare
Laurent Dassault,$7.3 B,France,diversified,344,67,Diversified
Thierry Dassault,$7.3 B,France,diversified,344,64,Diversified
Marie-Hélène Habert,$7.3 B,France,diversified,344,56,Diversified
Vincent Bolloré & family,$7 B,France,investments,369,69,Finance & Investments
Jean-Michel Besnier,$6.7 B,France,cheese,391,53,Food & Beverage
Marie Besnier Beauvalot,$6.7 B,France,cheese,391,40,Food & Beverage
Michel Leclercq & family,$5.7 B,France,sporting goods,486,81,Fashion & Retail
Nicolas Puech,$5.7 B,France,Hermes,486,78,Fashion & Retail
Carrie Perrodo & family,$5.4 B,France,oil,520,70,Energy
Marc Ladreit de Lacharriere,$4.9 B,France,finance,574,80,Finance & Investments
Pierre Bellon & family,$4.8 B,France,food services,589,91,Service
Martin & Olivier Bouygues,$4.6 B,France,"construction, media",622,N/A,Construction & Engineering
Stéphane Bancel,$4.3 B,France,biotech,665,48,Healthcare
Gilles Martin,$3.9 B,France,laboratory services,752,57,Healthcare
Mohed Altrad,$3.4 B,France,"scaffolding, cement mixers",891,73,Construction & Engineering
Charles Edelstenne,$3.3 B,France,aviation,925,83,Manufacturing
Philippe Foriel-Destezet,$3 B,France,employment agency,1008,85,Service
Louis Le Duff,$3 B,France,bakeries,1008,74,Food & Beverage
Bernard Fraisse,$2.1 B,France,pharmaceuticals,1517,64,Healthcare
Philippe Ginestet & family,$2.1 B,France,retail stores,1517,67,Fashion & Retail
Anne Beaufour,$2 B,France,pharmaceuticals,1580,57,Healthcare
Henri Beaufour,$2 B,France,pharmaceuticals,1580,55,Healthcare
Alain Taravella,$2 B,France,real estate development,1580,73,Real Estate
Francois Feuillet,$1.9 B,France,"motorhomes, RVs",1664,72,Automotive
Olivier Pomel,$1.9 B,France,cloud computing,1664,44,Technology
Yves-Loic Martin,$1.7 B,France,laboratory services,1833,55,Healthcare
Jean-Pierre Cayard,$1.6 B,France,spirits,1931,78,Food & Beverage
Norbert Dentressangle,$1.6 B,France,"transport, logistics",1931,66,Logistics
Christian Latouche,$1.5 B,France,accounting services,2035,80,Finance & Investments
Francis Holder,$1.4 B,France,bakeries,2141,80,Food & Beverage
Edouard Carmignac,$1.2 B,France,asset management,2378,73,Finance & Investments
Clement Fayat & family,$1.2 B,France,construction,2378,89,Construction & Engineering
