Name,NetWorth,Country,Source,Rank,Age,Industry
Beate Heister & Karl Albrecht Jr.,$39.2 B,Germany,supermarkets,34,69,Fashion & Retail
Dieter Schwarz,$36.9 B,Germany,retail,38,81,Fashion & Retail
Susanne Klatten,$27.7 B,Germany,"BMW, pharmaceuticals",53,58,Automotive
Klaus-Michael Kuehne,$26.3 B,Germany,shipping,58,83,Logistics
Stefan Quandt,$21.6 B,Germany,BMW,81,54,Automotive
"Theo Albrecht, Jr. & family",$18.8 B,Germany,"Aldi, Trader Joe's",98,70,Fashion & Retail
Reinhold Wuerth & family,$16.8 B,Germany,fasteners,115,85,Manufacturing
Georg Schaeffler,$14.9 B,Germany,auto parts,133,56,Automotive
Alexander Otto,$11.8 B,Germany,real estate,186,53,Real Estate
Andreas Struengmann & family,$11 B,Germany,pharmaceuticals,200,71,Healthcare
Thomas Struengmann & family,$11 B,Germany,pharmaceuticals,200,71,Healthcare
Dietmar Hopp & family,$10.1 B,Germany,software,224,80,Technology
Friedhelm Loh,$9.7 B,Germany,manufacturing,234,74,Manufacturing
Wolfgang Marguerre & family,$9.1 B,Germany,pharmaceuticals,256,79,Healthcare
Michael Otto,$8.9 B,Germany,"retail, real estate",264,77,Fashion & Retail
August von Finck,$8.8 B,Germany,investments,269,91,Finance & Investments
Hasso Plattner & family,$8.3 B,Germany,software,297,77,Technology
Andreas von Bechtolsheim & family,$8.2 B,Germany,Google,304,65,Technology
Ludwig Merckle,$7 B,Germany,pharmaceuticals,369,56,Finance & Investments
Erich Wesjohann & family,$6.8 B,Germany,poultry genetics,384,75,Food & Beverage
Aloys Wobben,$6.8 B,Germany,wind turbines,384,69,Energy
Horst Julius Pudwill,$6.5 B,Germany,manufacturing,404,76,Manufacturing
Axel Oberwelland,$6.3 B,Germany,candy,421,54,Food & Beverage
Juergen Blickle,$6 B,Germany,auto parts,451,74,Manufacturing
Guenther Fielmann & family,$6 B,Germany,optometry,451,81,Healthcare
Alexandra Schoerghuber,$5.5 B,Germany,real estate,502,62,Real Estate
Rainer Blickle,$5.4 B,Germany,auto parts,520,73,Manufacturing
Michael Herz,$5.1 B,Germany,coffee,550,77,Fashion & Retail
Wolfgang Herz,$5.1 B,Germany,coffee,550,70,Fashion & Retail
Theo Mueller,$5.1 B,Germany,dairy,550,81,Food & Beverage
Bernard Broermann,$5 B,Germany,hospitals,561,77,Healthcare
Paul-Heinz Wesjohann & family,$4.6 B,Germany,chicken processing,622,77,Food & Beverage
Friedrich Knapp,$4.5 B,Germany,fashion retail,638,69,Fashion & Retail
Ralph Dommermuth,$4.3 B,Germany,internet service provider,665,57,Technology
Traudl Engelhorn & family,$4.2 B,Germany,"pharmaceuticals, medical equipment",680,94,Healthcare
Katharina Otto-Bernstein,$4.1 B,Germany,real estate,705,57,Real Estate
Walter P.J. Droege,$4 B,Germany,investing,727,68,Finance & Investments
Georg Nemetschek & family,$4 B,Germany,software,727,87,Technology
Ugur Sahin,$4 B,Germany,biotechnology,727,55,Healthcare
Udo & Harald Tschira,$4 B,Germany,software,727,N/A,Technology
Paul Gauselmann & family,$3.9 B,Germany,gambling,752,86,Gambling & Casinos
Maximilian Viessmann,$3.9 B,Germany,heating and cooling equipment,752,N/A,Manufacturing
Hans Georg Naeder,$3.8 B,Germany,prosthetics,775,59,Manufacturing
Maren Otto,$3.8 B,Germany,"retail, real estate",775,N/A,Diversified
