Name,NetWorth,Country,Source,Rank,Age,Industry
Mukesh Ambani,$84.5 B,India,diversified,10,63,Diversified
Gautam Adani & family,$50.5 B,India,"infrastructure, commodities",24,58,Diversified
Shiv Nadar,$23.5 B,India,software services,71,75,Technology
Radhakishan Damani,$16.5 B,India,"retail, investments",117,66,Fashion & Retail
Uday Kotak,$15.9 B,India,banking,121,62,Finance & Investments
Lakshmi Mittal,$14.9 B,India,steel,133,70,Metals & Mining
Kumar Birla,$12.8 B,India,commodities,168,53,Diversified
Cyrus Poonawalla,$12.7 B,India,vaccines,169,79,Healthcare
Dilip Shanghvi,$10.9 B,India,pharmaceuticals,203,65,Healthcare
Sunil Mittal & family,$10.5 B,India,telecom,213,63,Telecom
Savitri Jindal & family,$9.7 B,India,steel,234,71,Metals & Mining
Benu Gopal Bangur,$8.7 B,India,cement,274,89,Manufacturing
Azim Premji,$8.6 B,India,software services,288,75,Technology
Kuldip Singh & Gurbachan Singh Dhingra,$8.4 B,India,paints,294,N/A,Manufacturing
Kushal Pal Singh,$8.3 B,India,real estate,297,89,Real Estate
Bajaj brothers,$7 B,India,diversified,369,N/A,Diversified
Murali Divi & family,$6.8 B,India,pharmaceuticals,384,70,Healthcare
Gopikishan Damani,$6.5 B,India,"retail, investments",404,63,Fashion & Retail
Rahul Bajaj,$6.3 B,India,diversified,421,82,Diversified
Ashwin Dani & family,$6.3 B,India,paints,421,78,Manufacturing
Hasmukh Chudgar & family,$5.5 B,India,pharmaceuticals,502,87,Healthcare
Kapil & Rahul Bhatia,$5.3 B,India,airlines,529,N/A,Service
Mahendra Choksi & family,$5.1 B,India,paints,550,79,Manufacturing
Vikram Lal & family,$5 B,India,motorcycles,561,79,Automotive
Pankaj Patel,$5 B,India,pharmaceuticals,561,68,Healthcare
M.A. Yusuff Ali,$4.8 B,India,retail,589,65,Fashion & Retail
Abhay Vakil & family,$4.6 B,India,paints,622,70,Manufacturing
Rakesh Jhunjhunwala,$4.3 B,India,investments,665,60,Finance & Investments
Pawan Munjal & family,$4.3 B,India,motorcycles,665,67,Automotive
Vinod & Anil Rai Gupta,$4 B,India,electrical equipment,727,N/A,Manufacturing
Kiran Mazumdar-Shaw,$4 B,India,biopharmaceuticals,727,68,Healthcare
Ajay Piramal,$4 B,India,pharmaceuticals,727,65,Healthcare
Karsanbhai Patel,$3.8 B,India,consumer goods,775,77,Diversified
Nusli Wadia,$3.8 B,India,consumer goods,775,77,Food & Beverage
Anil Agarwal & family,$3.6 B,India,"mining, metals",831,67,Metals & Mining
Shyam & Hari Bhartia,$3.5 B,India,diversified,859,68,Diversified
N.R. Narayana Murthy,$3.5 B,India,software services,859,74,Technology
Leena Tewari,$3.5 B,India,pharmaceuticals,859,63,Healthcare
Senapathy Gopalakrishnan,$3.3 B,India,software services,925,66,Technology
Ravi Jaipuria,$3.3 B,India,"soft drinks, fast food",925,66,Food & Beverage
P.V. Ramprasad Reddy,$3 B,India,pharmaceuticals,1008,63,Healthcare
Sanjeev Bikhchandani,$2.9 B,India,Internet,1064,57,Technology
Samir Mehta,$2.9 B,India,"pharmaceuticals, power",1064,57,Healthcare
Sudhir Mehta,$2.9 B,India,"pharmaceuticals, power",1064,66,Healthcare
Chandru Raheja,$2.9 B,India,real estate,1064,80,Real Estate
Vivek Chand Burman,$2.8 B,India,consumer goods,1111,83,Food & Beverage
Micky Jagtiani,$2.8 B,India,retail,1111,69,Fashion & Retail
Rajendra Agarwal,$2.6 B,India,pharmaceuticals,1205,62,Healthcare
Banwari Lal Bawri,$2.6 B,India,pharmaceuticals,1205,68,Healthcare
Girdhari Lal Bawri,$2.6 B,India,pharmaceuticals,1205,73,Healthcare
Aloke Lohia,$2.6 B,India,petrochemicals,1205,62,Manufacturing
Kalanithi Maran,$2.6 B,India,media,1205,55,Media & Entertainment
Byju Raveendran and Divya Gokulnath,$2.5 B,India,education technology,1249,39,Technology
Harsh Mariwala,$2.5 B,India,consumer goods,1249,69,Food & Beverage
Nandan Nilekani,$2.5 B,India,software services,1249,65,Technology
Ravi Pillai,$2.5 B,India,construction,1249,67,Construction & Engineering
Rajan Raheja & family,$2.5 B,India,diversified,1249,66,Diversified
Smita Crishna-Godrej,$2.4 B,India,consumer goods,1299,70,Diversified
Abhay Firodia,$2.4 B,India,automobiles,1299,76,Automotive
Adi Godrej,$2.4 B,India,consumer goods,1299,79,Diversified
Jamshyd Godrej,$2.4 B,India,consumer goods,1299,72,Diversified
Nadir Godrej,$2.4 B,India,consumer goods,1299,70,Diversified
Rishad Naoroji,$2.4 B,India,consumer goods,1299,69,Diversified
Madhukar Parekh,$2.4 B,India,adhesives,1299,74,Manufacturing
Anand Burman,$2.3 B,India,consumer goods,1362,68,Food & Beverage
Sandeep Engineer,$2.3 B,India,plastic pipes,1362,59,Manufacturing
Harsh Goenka,$2.3 B,India,diversified,1362,63,Diversified
Baba Kalyani,$2.3 B,India,engineering,1362,72,Construction & Engineering
Vijay Shekhar Sharma,$2.3 B,India,financial technology,1362,42,Service
Jitendra Virwani,$2.3 B,India,real estate,1362,55,Real Estate
Acharya Balkrishna,$2.2 B,India,consumer goods,1444,48,Food & Beverage
Jai Hari & Yadu Hari Dalmia & family,$2.2 B,India,cement,1444,N/A,Manufacturing
K. Dinesh,$2.2 B,India,software services,1444,66,Technology
Arvind Poddar,$2.2 B,India,tires,1444,63,Automotive
Shashi & Ravi Ruia,$2.2 B,India,diversified,1444,N/A,Diversified
Salil Singhal,$2.2 B,India,agrochemicals,1444,73,Manufacturing
Kishore Mariwala,$2.1 B,India,consumer goods,1517,86,Food & Beverage
Vikas Oberoi,$2.1 B,India,real estate,1517,50,Real Estate
Mahendra Prasad,$2 B,India,pharmaceuticals,1580,81,Healthcare
Arvind Tiku,$2 B,India,"oil & gas, investments",1580,51,Energy
Sanjiv Goenka,$1.9 B,India,diversified,1664,60,Diversified
Surjit Kumar Gupta,$1.9 B,India,electrical equipment,1664,79,Manufacturing
Yusuf Hamied,$1.9 B,India,pharmaceuticals,1664,84,Healthcare
Anand Mahindra,$1.9 B,India,diversified,1664,65,Diversified
Lachhman Das Mittal,$1.9 B,India,tractors,1664,90,Automotive
S.D. Shibulal,$1.9 B,India,software services,1664,66,Technology
Arun Bharat Ram,$1.8 B,India,chemicals,1750,80,Manufacturing
Chirayu Amin,$1.7 B,India,pharmaceuticals,1833,74,Healthcare
R.G. Chandramogan,$1.7 B,India,dairy,1833,72,Food & Beverage
Anurang Jain,$1.7 B,India,auto parts,1833,59,Manufacturing
Devendra Jain,$1.7 B,India,chemicals,1833,92,Manufacturing
Narendrakumar Parekh,$1.7 B,India,adhesives,1833,82,Manufacturing
Rajju Shroff,$1.7 B,India,agrochemicals,1833,87,Manufacturing
Amit Burman,$1.6 B,India,consumer goods,1931,51,Food & Beverage
Niranjan Hiranandani,$1.6 B,India,real estate,1931,71,Real Estate
Ajay Parekh,$1.6 B,India,adhesives,1931,63,Manufacturing
G. Rajendran,$1.6 B,India,jewellery,1931,78,Fashion & Retail
P.P. Reddy,$1.6 B,India,infrastructure,1931,63,Construction & Engineering
Subhash Runwal,$1.6 B,India,real estate,1931,77,Real Estate
Bhadresh Shah,$1.6 B,India,engineering,1931,69,Manufacturing
Harindarpal Banga,$1.5 B,India,commodities,2035,70,Finance & Investments
Arvind Lal,$1.5 B,India,medical diagnostics,2035,71,Healthcare
Sushilkumar Parekh,$1.5 B,India,adhesives,2035,88,Manufacturing
P.V.Krishna Reddy,$1.5 B,India,infrastructure,2035,51,Construction & Engineering
Prathap Reddy,$1.5 B,India,healthcare,2035,89,Healthcare
Satish Reddy,$1.5 B,India,pharmaceuticals,2035,53,Healthcare
Vinod Saraf,$1.5 B,India,chemicals,2035,68,Manufacturing
Basudeo Singh,$1.5 B,India,pharmaceuticals,2035,80,Healthcare
Radha Vembu,$1.5 B,India,business software,2035,48,Technology
Anu Aga,$1.4 B,India,engineering,2141,78,Construction & Engineering
Balkrishan Goenka,$1.4 B,India,textiles,2141,54,Manufacturing
Nirmal Minda,$1.4 B,India,auto parts,2141,63,Automotive
Sunny Varkey,$1.4 B,India,education,2141,63,Service
Sanjay Agarwal,$1.3 B,India,banking,2263,50,Finance & Investments
Achal Bakeri,$1.3 B,India,air coolers,2263,61,Manufacturing
Pradip Burman,$1.3 B,India,consumer goods,2263,78,Food & Beverage
Hemendra Kothari,$1.3 B,India,Financial Services,2263,74,Finance & Investments
Mangal Prabhat Lodha,$1.3 B,India,real estate,2263,65,Real Estate
Deepak Mehta,$1.3 B,India,chemicals,2263,64,Manufacturing
George Alexander Muthoot,$1.3 B,India,financial services,2263,65,Finance & Investments
George Jacob Muthoot,$1.3 B,India,financial services,2263,68,Finance & Investments
George Thomas Muthoot,$1.3 B,India,financial services,2263,70,Finance & Investments
Ranjan Pai,$1.3 B,India,education,2263,48,Service
Sachin Bansal,$1.2 B,India,flipkart,2378,39,Fashion & Retail
Premchand Godha,$1.2 B,India,pharmaceuticals,2378,74,Healthcare
G.V. Prasad,$1.2 B,India,pharmaceuticals,2378,60,Healthcare
Kavita Singhania,$1.2 B,India,cement,2378,59,Manufacturing
Radhe Shyam Agarwal,$1.1 B,India,consumer goods,2524,76,Fashion & Retail
Binny Bansal,$1.1 B,India,flipkart,2524,38,Technology
Rahul Gautam,$1.1 B,India,mattresses,2524,68,Fashion & Retail
Radhe Shyam Goenka,$1.1 B,India,consumer goods,2524,75,Fashion & Retail
M.Satyanarayana Reddy,$1.1 B,India,pharmaceuticals,2524,63,Healthcare
Sunil Vachani,$1.1 B,India,electronics,2524,52,Manufacturing
Sekar Vembu,$1.1 B,India,business software,2524,49,Technology
Mukand Lal Dua,$1 B,India,footwear,2674,72,Fashion & Retail
Ramesh Kumar Dua,$1 B,India,footwear,2674,67,Fashion & Retail
Ashok Kajaria,$1 B,India,tiles,2674,73,Manufacturing
T.S. Kalyanaraman,$1 B,India,jewelry,2674,73,Fashion & Retail
Rafique Malik,$1 B,India,footwear,2674,70,Fashion & Retail
Mofatraj Munot,$1 B,India,real estate,2674,76,Real Estate
