Name,NetWorth,Country,Source,Rank,Age,Industry
R. Budi Hartono,$20.5 B,Indonesia,"banking, tobacco",86,80,Finance & Investments
Michael Hartono,$19.7 B,Indonesia,"banking, tobacco",89,81,Manufacturing
Sri Prakash Lohia,$6.5 B,Indonesia,petrochemicals,404,68,Manufacturing
Prajogo Pangestu,$6.5 B,Indonesia,petrochemicals,404,76,Diversified
Chairul Tanjung,$4.8 B,Indonesia,diversified,589,58,Diversified
Tahir & family,$3.3 B,Indonesia,diversified,925,69,Diversified
Eddy Kusnadi Sariaatmadja,$3 B,Indonesia,"media, tech",1008,67,Media & Entertainment
Jerry Ng,$2.5 B,Indonesia,banking,1249,56,Finance & Investments
Martua Sitorus,$2 B,Indonesia,palm oil,1580,61,Manufacturing
Theodore Rachmat,$1.7 B,Indonesia,diversified,1833,77,Diversified
Mochtar Riady & family,$1.7 B,Indonesia,diversified,1833,91,Diversified
Djoko Susanto,$1.7 B,Indonesia,supermarkets,1833,71,Fashion & Retail
Peter Sondakh,$1.5 B,Indonesia,investments,2035,71,Finance & Investments
Sukanto Tanoto,$1.4 B,Indonesia,diversified,2141,71,Diversified
Alexander Tedja,$1.4 B,Indonesia,real estate,2141,75,Real Estate
Murdaya Poo,$1.2 B,Indonesia,diversified,2378,80,Diversified
Winarko Sulistyo,$1.2 B,Indonesia,paper and pulp,2378,75,Manufacturing
Lim Hariyanto Wijaya Sarwono,$1.1 B,Indonesia,"palm oil, nickel mining",2524,92,Energy
Low Tuck Kwong,$1.1 B,Indonesia,coal,2524,72,Energy
Susanto Suwarto,$1.1 B,Indonesia,media,2524,65,Media & Entertainment
Hary Tanoesoedibjo,$1.1 B,Indonesia,media,2524,55,Media & Entertainment
