Name,NetWorth,Country,Source,Rank,Age,Industry
Eyal Ofer,$11.1 B,Israel,"real estate, shipping",197,70,Diversified
Stef Wertheimer & family,$6.2 B,Israel,metalworking tools,432,94,Manufacturing
Idan Ofer,$6.1 B,Israel,"drilling, shipping",440,65,Diversified
Teddy Sagi,$5.2 B,Israel,gambling software,539,49,Gambling & Casinos
Yuri Milner,$4.8 B,Israel,tech investments,589,59,Finance & Investments
Shari Arison,$4.4 B,Israel,Carnival Cruises,655,63,Service
Shaul Shani,$3.8 B,Israel,telecom,775,66,Telecom
Arnon Milchan,$3.4 B,Israel,movie making,891,76,Media & Entertainment
Gil Shwed,$3 B,Israel,software,1008,52,Technology
Yitzhak Tshuva,$2.7 B,Israel,real estate,1174,72,Real Estate
David Wertheim,$2.4 B,Israel,Coca Cola Israel,1299,63,Food & Beverage
Michael Federmann & family,$2.1 B,Israel,"defense, hotels",1517,77,Technology
Shmuel Harlap,$1.9 B,Israel,automotive,1664,76,Automotive
Shalom Meckenzie,$1.7 B,Israel,★,1833,44,Gambling & Casinos
Marius Nacht,$1.5 B,Israel,software,2035,55,Technology
Mori Arkin,$1.4 B,Israel,pharmaceuticals,2141,68,Healthcare
Ziv Aviram,$1.4 B,Israel,automotive technology,2141,62,Automotive
Zadik Bino & family,$1.4 B,Israel,"banking, oil",2141,77,Diversified
Amnon Shashua,$1.4 B,Israel,automotive technology,2141,60,Automotive
Drorit Wertheim,$1.4 B,Israel,Coca Cola Israel,2141,65,Food & Beverage
Shay Banon,$1.2 B,Israel,search engine,2378,43,Technology
Dan Gertler,$1.2 B,Israel,mining,2378,47,Metals & Mining
Liora Ofer,$1.2 B,Israel,investments,2378,67,Finance & Investments
Danna Azrieli,$1.1 B,Israel,Real estate,2524,53,Real Estate
Morris Kahn,$1 B,Israel,software,2674,91,Technology
