Name,NetWorth,Country,Source,Rank,Age,Industry
Masayoshi Son,$45.4 B,Japan,"internet, telecom",29,63,Telecom
Tadashi Yanai & family,$44.1 B,Japan,fashion retail,31,72,Fashion & Retail
Takemitsu Takizaki,$25.8 B,Japan,sensors,62,75,Manufacturing
Shigenobu Nagamori,$8.7 B,Japan,motors,274,76,Manufacturing
Takahisa Takahara,$7.9 B,Japan,personal care goods,311,59,Fashion & Retail
Hiroshi Mikitani,$6.7 B,Japan,online retail,391,56,Fashion & Retail
Akio Nitori,$5.2 B,Japan,home furnishings,539,77,Fashion & Retail
Yasumitsu Shigeta,$4.9 B,Japan,mobile phone retailer,574,56,Telecom
Takao Yasuda,$4.3 B,Japan,retail,665,71,Fashion & Retail
Masatoshi Ito,$4 B,Japan,retail,727,96,Fashion & Retail
Akira Mori & family,$4 B,Japan,real estate,727,84,Real Estate
Masahiro Noda,$4 B,Japan,software,727,82,Technology
Masahiro Miki,$3.9 B,Japan,shoes,752,65,Fashion & Retail
Yoichi & Keiko Erikawa,$3.2 B,Japan,videogames,956,N/A,Media & Entertainment
Masateru Uno & family,$2.8 B,Japan,drugstores,1111,74,Fashion & Retail
Yuji Otsuka,$2.6 B,Japan,"copy machines, software",1205,67,Technology
Eiichi Kuriwada,$2.3 B,Japan,package delivery,1362,74,Logistics
Katsumi Tada,$2.3 B,Japan,real estate,1362,75,Real Estate
Shintaro Yamada,$2.2 B,Japan,mobile apps,1444,43,Technology
Masaaki Arai,$2 B,Japan,home sales,1580,55,Real Estate
Yasuhiro Fukushima,$2 B,Japan,video games,1580,73,Media & Entertainment
Yusaku Maezawa,$1.9 B,Japan,online retail,1664,45,Technology
Kazuo Okada,$1.8 B,Japan,casinos,1750,78,Gambling & Casinos
Chang-Woo Han & family,$1.7 B,Japan,pachinko parlors,1833,90,Gambling & Casinos
Kagemasa Kozuki,$1.7 B,Japan,video games,1833,80,Technology
Susumu Fujita,$1.6 B,Japan,internet media,1931,47,Media & Entertainment
Kentaro Ogawa,$1.6 B,Japan,restaurants,1931,72,Food & Beverage
Shigefumi Wada,$1.6 B,Japan,software,1931,68,Technology
Nobutoshi Shimamura,$1.4 B,Japan,retail,2141,95,Fashion & Retail
Itaru Tanimura,$1.4 B,Japan,heathcare,2141,56,Healthcare
Ryuji Arai,$1.3 B,Japan,appliances,2263,74,Manufacturing
Yoshiko Mori,$1.3 B,Japan,real estate,2263,80,Real Estate
Nobutada Saji,$1.3 B,Japan,beverages,2263,75,Food & Beverage
Satoshi Suzuki,$1.3 B,Japan,cosmetics,2263,67,Fashion & Retail
Masaru Wasami,$1.3 B,Japan,logistics,2263,75,Logistics
Kazutoshi Kobayashi,$1.2 B,Japan,cosmetics,2378,58,Fashion & Retail
Masanori Kobayashi,$1.2 B,Japan,cosmetics,2378,47,Fashion & Retail
Takao Kobayashi,$1.2 B,Japan,cosmetics,2378,56,Fashion & Retail
Muneaki Masuda,$1.2 B,Japan,retail,2378,70,Fashion & Retail
Taichiro Motoe,$1.2 B,Japan,Internet services,2378,45,Technology
Hajime Satomi,$1.2 B,Japan,"video games, pachinko",2378,79,Gambling & Casinos
Soichiro Fukutake,$1.1 B,Japan,education,2524,75,Service
Hiroshi Ishibashi,$1.1 B,Japan,tires,2524,74,Automotive
Kenji Kasahara,$1.1 B,Japan,social network,2524,45,Technology
Takanori Nakamura,$1.1 B,Japan,cloud software,2524,48,Technology
Daisuke Sasaki,$1.1 B,Japan,software,2524,40,Technology
Yoshikazu Tanaka,$1.1 B,Japan,social network,2524,44,Technology
Shirou Terashita,$1.1 B,Japan,investor relations consulting,2524,62,Service
Masatoshi Kumagai,$1 B,Japan,internet services,2674,57,Technology
