Name,NetWorth,Country,Source,Rank,Age,Industry
Robert Kuok,$12.6 B,Malaysia,"palm oil, shipping, property",171,97,Diversified
Quek Leng Chan,$9.7 B,Malaysia,"banking, property",234,79,Diversified
Ananda Krishnan,$5.8 B,Malaysia,"telecoms, media, oil-services",476,83,Telecom
Teh Hong Piow,$5.7 B,Malaysia,banking,486,91,Finance & Investments
Lee Yeow Chor & Yeow Seng,$5.1 B,Malaysia,"palm oil, property",550,N/A,Food & Beverage
Chen Lip Keong,$4.6 B,Malaysia,"casinos, property, energy",622,73,Gambling & Casinos
Koon Poh Keong,$4 B,Malaysia,aluminum,727,59,Manufacturing
Kuan Kam Hon & family,$3.9 B,Malaysia,synthetic gloves,752,73,Manufacturing
Lim Wee Chai,$3.5 B,Malaysia,rubber gloves,859,63,Manufacturing
Lim Kok Thay,$2.7 B,Malaysia,casinos,1174,69,Gambling & Casinos
Lau Cho Kun,$2.2 B,Malaysia,"palm oil, property",1444,85,Diversified
Tan Yu Yeh,$1.8 B,Malaysia,retail,1750,50,Fashion & Retail
G. Gnanalingam,$1.7 B,Malaysia,ports,1833,76,Logistics
Jeffrey Cheah,$1.3 B,Malaysia,property,2263,76,Real Estate
Syed Mokhtar AlBukhary,$1.2 B,Malaysia,"engineering, energy, construction",2378,69,Construction & Engineering
Tan Eng Kee,$1.1 B,Malaysia,factory equipment,2524,51,Manufacturing
Tan Yu Wei,$1.1 B,Malaysia,retail,2524,48,Fashion & Retail
