Name,NetWorth,Country,Source,Rank,Age,Industry
Carlos Slim Helu & family,$62.8 B,Mexico,telecom,16,81,Telecom
German Larrea Mota Velasco & family,$25.9 B,Mexico,mining,61,67,Metals & Mining
Ricardo Salinas Pliego & family,$12.9 B,Mexico,"retail, media",166,65,Fashion & Retail
Alberto Bailleres Gonzalez & family,$9.2 B,Mexico,mining,255,89,Metals & Mining
Juan Francisco Beckmann Vidal & family,$7 B,Mexico,tequila,369,81,Food & Beverage
Maria Asuncion Aramburuzabala & family,$5.8 B,Mexico,"beer, investments",476,57,Food & Beverage
Antonio Del Valle Ruiz & family,$3.1 B,Mexico,chemicals,986,82,Manufacturing
Carlos Hank Rhon,$2.2 B,Mexico,banking,1444,73,Diversified
Roberto Hernandez Ramirez,$1.9 B,Mexico,banking,1664,79,Finance & Investments
Rufino Vigil Gonzalez,$1.7 B,Mexico,steel,1833,72,Metals & Mining
Fernando Chico Pardo,$1.4 B,Mexico,airport management,2141,69,Service
Alfredo Harp Helu & family,$1.2 B,Mexico,banking,2378,77,Finance & Investments
David Penaloza Alanis,$1 B,Mexico,toll roads,2674,47,Construction & Engineering
