Name,NetWorth,Country,Source,Rank,Age,Industry
Charlene de Carvalho-Heineken & family,$16.7 B,Netherlands,Heineken,116,66,Food & Beverage
Frits Goldschmeding,$6 B,Netherlands,temp agency,451,87,Service
Arnout Schuijff,$3.5 B,Netherlands,payments software,859,53,Technology
Hans Melchers,$2.8 B,Netherlands,"chemicals, investments",1111,82,Finance & Investments
Pieter van der Does,$2.6 B,Netherlands,payments software,1205,51,Technology
Wim van der Leegte,$2.6 B,Netherlands,manufacturing,1205,73,Manufacturing
John de Mol,$2 B,Netherlands,TV programs,1580,66,Media & Entertainment
Kommer Damen,$1.8 B,Netherlands,shipbuilding,1750,77,Manufacturing
Lesley Bamberger,$1.6 B,Netherlands,real estate,1931,55,Real Estate
Steven Schuurman,$1.5 B,Netherlands,software,2035,45,Technology
Jitse Groen,$1.4 B,Netherlands,food delivery service,2141,42,Food & Beverage
Joop van den Ende,$1.3 B,Netherlands,TV shows,2263,79,Media & Entertainment
