Name,NetWorth,Country,Source,Rank,Age,Industry
Manuel Villar,$7.2 B,Philippines,real estate,352,71,Real Estate
"Enrique Razon, Jr.",$5 B,Philippines,ports,561,61,Logistics
Lucio Tan,$3.3 B,Philippines,diversified,925,86,Diversified
Hans Sy,$3 B,Philippines,diversified,1008,65,Diversified
Herbert Sy,$3 B,Philippines,diversified,1008,64,Diversified
Andrew Tan,$3 B,Philippines,diversified,1008,71,Diversified
Harley Sy,$2.7 B,Philippines,diversified,1174,61,Diversified
"Henry Sy, Jr.",$2.7 B,Philippines,diversified,1174,68,Diversified
Teresita Sy-Coson,$2.7 B,Philippines,diversified,1174,70,Diversified
Elizabeth Sy,$2.4 B,Philippines,diversified,1299,68,Diversified
Tony Tan Caktiong & family,$2.4 B,Philippines,food,1299,68,Food & Beverage
Ramon Ang,$2.2 B,Philippines,Diversified,1444,67,Food & Beverage
Inigo Zobel,$1.4 B,Philippines,Diversified,2141,64,Diversified
Lance Gokongwei,$1.2 B,Philippines,diversified,2378,53,Diversified
Roberto Ongpin,$1.2 B,Philippines,diversified,2378,84,Diversified
"Ricardo Po, Sr. & family",$1.1 B,Philippines,canned food,2524,90,Food & Beverage
Edgar Sia II,$1.1 B,Philippines,fast food,2524,44,Food & Beverage
