Name,NetWorth,Country,Source,Rank,Age,Industry
Zhang Yong,$23 B,Singapore,restaurants,75,50,Food & Beverage
Goh Cheng Liang,$21.7 B,Singapore,paints,80,93,Manufacturing
Li Xiting,$21.5 B,Singapore,medical devices,82,70,Healthcare
Robert & Philip Ng,$13.3 B,Singapore,real estate,158,69,Real Estate
Forrest Li,$12.4 B,Singapore,gaming,177,43,Media & Entertainment
Gang Ye,$7.1 B,Singapore,gaming,358,40,Media & Entertainment
Wee Cho Yaw,$6.8 B,Singapore,banking,384,92,Finance & Investments
Kwee brothers,$5.6 B,Singapore,Real Estate,496,N/A,Real Estate
Shu Ping,$5.5 B,Singapore,restaurants,502,51,Food & Beverage
Jason Chang,$5 B,Singapore,electronics,561,76,Technology
Kuok Khoon Hong,$3.8 B,Singapore,palm oil,775,71,Manufacturing
Kwek Leng Beng,$3 B,Singapore,diversified,1008,80,Diversified
Peter Lim,$3 B,Singapore,investments,1008,67,Finance & Investments
Choo Chong Ngen,$2.6 B,Singapore,hotels,1205,67,Real Estate
Raj Kumar & Kishin RK,$2.6 B,Singapore,real estate,1205,66,Real Estate
Zhao Tao,$2.5 B,Singapore,pharmaceuticals,1249,55,Healthcare
David Chen,$2.4 B,Singapore,online games,1299,40,Media & Entertainment
Kwek Leng Kee,$2.2 B,Singapore,diversified,1444,66,Diversified
Sam Goi,$2 B,Singapore,frozen foods,1580,74,Food & Beverage
Oei Hong Leong,$1.8 B,Singapore,investments,1750,73,Finance & Investments
Asok Kumar Hiranandani,$1.6 B,Singapore,real estate,1931,66,Real Estate
Zhong Sheng Jian,$1.5 B,Singapore,real estate,2035,63,Real Estate
Shi Xu,$1.3 B,Singapore,technology,2263,57,Technology
Ron Sim,$1.3 B,Singapore,retail,2263,62,Fashion & Retail
Chua Thian Poh,$1.2 B,Singapore,real estate,2378,72,Real Estate
Kwek Leng Peck,$1.2 B,Singapore,diversified,2378,65,Diversified
Yao Hsiao Tung,$1 B,Singapore,Manufacturing,2674,81,Manufacturing
