Name,NetWorth,Country,Source,Rank,Age,Industry
Amancio Ortega,$77 B,Spain,Zara,11,85,Fashion & Retail
Sandra Ortega Mera,$7.3 B,Spain,Zara,344,52,Fashion & Retail
Juan Roig,$4.2 B,Spain,supermarkets,680,71,Fashion & Retail
Rafael Del Pino,$3.9 B,Spain,construction,752,62,Construction & Engineering
Juan Abello,$2.9 B,Spain,investments,1064,79,Finance & Investments
Alicia Koplowitz,$2.8 B,Spain,"construction, investments",1111,67,Finance & Investments
Hortensia Herrero,$2.6 B,Spain,supermarkets,1205,70,Fashion & Retail
Maria Del Pino,$2.3 B,Spain,construction,1362,65,Construction & Engineering
Daniel Mate,$2.3 B,Spain,"mining, commodities",1362,57,Metals & Mining
Florentino Perez,$2.1 B,Spain,construction,1517,74,Construction & Engineering
Isak Andic & family,$2 B,Spain,fashion retail,1580,67,Fashion & Retail
Sol Daurella,$2 B,Spain,Coca-Cola bottler,1580,55,Food & Beverage
D. Leopoldo Del Pino,$1.8 B,Spain,construction,1750,58,Construction & Engineering
Juan Lopez-Belmonte Lopez & family,$1.8 B,Spain,pharmacueticals,1750,N/A,Healthcare
Fernando Roig,$1.7 B,Spain,supermarkets,1833,73,Fashion & Retail
Miguel Fluxa Rossello,$1.6 B,Spain,hotels,1931,82,Service
Manuel Lao Hernandez,$1.6 B,Spain,casinos,1931,76,Gambling & Casinos
Tomas Olivo Lopez,$1.6 B,Spain,shopping centers,1931,47,Real Estate
Francisco Jose Riberas Mera,$1.6 B,Spain,"steel, autoparts",1931,56,Manufacturing
Juan Maria Riberas Mera,$1.6 B,Spain,"steel, investments",1931,52,Metals & Mining
Alberto Cortina,$1.5 B,Spain,investments,2035,75,Finance & Investments
Alberto Palatchi,$1.5 B,Spain,wedding dresses,2035,71,Fashion & Retail
Helena Revoredo,$1.5 B,Spain,security services,2035,74,Service
Alberto Alcocer,$1.4 B,Spain,investments,2141,78,Finance & Investments
Gabriel Escarrer,$1.2 B,Spain,hotels,2378,86,Service
Antonio Gallardo Ballart,$1.1 B,Spain,pharmaceuticals,2524,85,Healthcare
Jorge Gallardo Ballart,$1.1 B,Spain,pharmaceuticals,2524,79,Healthcare
Carmen Daurella Aguilera,$1 B,Spain,Coca-Cola bottler,2674,N/A,Food & Beverage
Jose Elias,$1 B,Spain,wind power,2674,44,Energy
Jose Llado Fernandez-Urrutia,$1 B,Spain,construction,2674,87,Construction & Engineering
