Name,NetWorth,Country,Source,Rank,Age,Industry
Terry Gou,$7 B,Taiwan,electronics,369,70,Technology
Tsai Eng-meng,$6.3 B,Taiwan,"food, beverages",421,64,Food & Beverage
Barry Lam,$5.3 B,Taiwan,electronics,529,71,Technology
Pierre Chen,$5.1 B,Taiwan,electronics,550,64,Technology
Lin Shu-hong,$4.8 B,Taiwan,petrochemicals,589,92,Manufacturing
Samuel Yin,$4.1 B,Taiwan,retail,705,70,Diversified
Richard Tsai,$3.6 B,Taiwan,finance,831,63,Finance & Investments
Daniel Tsai,$3.4 B,Taiwan,finance,891,64,Finance & Investments
"Andre Koo, Sr.",$3.3 B,Taiwan,financial services,925,53,Finance & Investments
Tsai Cheng-ta,$3.2 B,Taiwan,finance,956,71,Finance & Investments
Tsai Hong-tu,$3.2 B,Taiwan,finance,956,68,Finance & Investments
Morris Chang,$2.8 B,Taiwan,semiconductors,1111,89,Technology
Rudy Ma,$2.8 B,Taiwan,finance,1111,80,Finance & Investments
Tsai Ming-kai,$2.7 B,Taiwan,semiconductors,1174,71,Technology
K.C. Liu,$2.6 B,Taiwan,manufacturing,1205,67,Technology
Lin Ming-hsiung,$2.5 B,Taiwan,supermarkets,1249,71,Fashion & Retail
Douglas Hsu,$2.4 B,Taiwan,diversified,1299,78,Diversified
T.Y. Tsai,$2.4 B,Taiwan,finance,1299,68,Finance & Investments
Wei Ying-Chiao,$2.3 B,Taiwan,"food, beverages",1362,66,Food & Beverage
Bruce Cheng,$2.2 B,Taiwan,electronics,1444,85,Technology
Chin Jong Hwa,$2.2 B,Taiwan,auto parts,1444,62,Automotive
Lin Chang Su-O,$2.2 B,Taiwan,real estate,1444,80,Real Estate
Scott Lin,$2.2 B,Taiwan,optical components,1444,88,Technology
Lin Chen-hai,$2.1 B,Taiwan,real estate,1517,74,Real Estate
Wang Chou-hsiong,$2.1 B,Taiwan,footwear,1517,80,Manufacturing
Wei Ing-Chou,$2 B,Taiwan,"food, beverages",1580,67,Food & Beverage
Chen Tei-fu,$1.9 B,Taiwan,herbal products,1664,72,Fashion & Retail
Wei Yin-Chun,$1.9 B,Taiwan,"food, beverages",1664,64,Food & Beverage
Wei Yin-Heng,$1.9 B,Taiwan,"food, beverages",1664,62,Food & Beverage
Shi Wen-long,$1.8 B,Taiwan,plastics,1750,93,Manufacturing
Richard Chang,$1.7 B,Taiwan,"real estate, electronics",1833,74,Real Estate
Chao Teng-hsiung,$1.7 B,Taiwan,real estate,1833,76,Real Estate
Tony Chen,$1.7 B,Taiwan,electronics,1833,71,Technology
Xie Weitong,$1.7 B,Taiwan,cobalt,1833,64,Metals & Mining
Chen Yung-tai,$1.6 B,Taiwan,real estate,1931,85,Real Estate
Tseng Cheng,$1.6 B,Taiwan,petrochemicals,1931,59,Manufacturing
Thomas Wu,$1.5 B,Taiwan,finance,2035,71,Finance & Investments
Archie Hwang,$1.4 B,Taiwan,semiconductors,2141,68,Technology
Cho Jyh-jer,$1.3 B,Taiwan,semiconductors,2263,N/A,Technology
Yeh Kuo-I,$1.3 B,Taiwan,manufacturing,2263,79,Manufacturing
Wang Ren-sheng,$1.2 B,Taiwan,retail,2378,89,Fashion & Retail
Wu Li-gann,$1.2 B,Taiwan,electronic components,2378,80,Manufacturing
Ho Kuang-chi,$1.1 B,Taiwan,Restaurants,2524,58,Food & Beverage
Tseng Sing-ai,$1.1 B,Taiwan,petrochemicals,2524,N/A,Manufacturing
Wu Chung-yi,$1.1 B,Taiwan,manufacturing,2524,65,Manufacturing
Eugene Wu,$1.1 B,Taiwan,finance,2524,75,Finance & Investments
Tsai Chi-jui,$1 B,Taiwan,shoes,2674,81,Fashion & Retail
