Name,NetWorth,Country,Source,Rank,Age,Industry
Dhanin Chearavanont,$18.1 B,Thailand,diversified,103,81,Diversified
Charoen Sirivadhanabhakdi,$13.5 B,Thailand,"alcohol, real estate",156,76,Food & Beverage
Sarath Ratanavadi,$8.9 B,Thailand,energy,264,55,Energy
Sumet Jiaravanon,$5.5 B,Thailand,diversified,502,86,Diversified
Jaran Chiaravanont,$5.4 B,Thailand,diversified,520,91,Diversified
Montri Jiaravanont,$5.4 B,Thailand,diversified,520,90,Diversified
Chuchat Petaumpai & Daonapa Petampai,$3.5 B,Thailand,motorcycle loans,859,67,Finance & Investments
Somphote Ahunai,$3.3 B,Thailand,renewable energy,925,53,Energy
Harald Link,$3.1 B,Thailand,diversified,986,66,Diversified
Prasert Prasarttong-Osoth,$3.1 B,Thailand,hospitals,986,88,Healthcare
Kiat Chiaravanont,$2.4 B,Thailand,diversified,1299,N/A,Diversified
Vanich Chaiyawan,$2.3 B,Thailand,"insurance, beverages",1362,89,Finance & Investments
Krit Ratanarak,$2.3 B,Thailand,"media, real estate",1362,74,Media & Entertainment
Keeree Kanjanapas,$2.1 B,Thailand,transportation,1517,70,Real Estate
Prayudh Mahagitsiri,$2.1 B,Thailand,"coffee, shipping",1517,75,Food & Beverage
Sathien Setthasit,$2 B,Thailand,energy drinks,1580,66,Food & Beverage
Thaksin Shinawatra,$2 B,Thailand,investments,1580,71,Finance & Investments
Wichai Thongtang,$2 B,Thailand,investments,1580,74,Real Estate
William Heinecke,$1.8 B,Thailand,hotels,1750,71,Real Estate
Chatchai Kaewbootta,$1.7 B,Thailand,auto loans,1833,69,Finance & Investments
Vonnarat Tangkaravakoon,$1.7 B,Thailand,"wire & cables, paints",1833,49,Manufacturing
Prachak Tangkaravakoon,$1.6 B,Thailand,paints,1931,77,Manufacturing
Manas Chiaravanond,$1.5 B,Thailand,diversified,2035,N/A,Diversified
Phongthep Chiaravanont,$1.5 B,Thailand,diversified,2035,69,Diversified
Prathip Chiravanond,$1.5 B,Thailand,diversified,2035,N/A,Diversified
Niti Osathanugrah,$1.5 B,Thailand,"energy drinks,investments",2035,47,Finance & Investments
Anant Asavabhokin,$1.2 B,Thailand,real estate,2378,70,Real Estate
Nutchamai Thanombooncharoen,$1.2 B,Thailand,energy drinks,2378,59,Food & Beverage
Thongma Vijitpongpun,$1.2 B,Thailand,real estate,2378,63,Real Estate
Rit Thirakomen,$1 B,Thailand,restaurants,2674,69,Food & Beverage
Surin Upatkoon,$1 B,Thailand,"telecom, lotteries, insurance",2674,71,Diversified
