Name,NetWorth,Country,Source,Rank,Age,Industry
Murat Ulker,$6.3 B,Turkey,food,421,62,Food & Beverage
Erman Ilicak,$4.4 B,Turkey,construction,655,53,Construction & Engineering
Ferit Faik Sahenk,$3 B,Turkey,diversified,1008,57,Diversified
Filiz Sahenk,$2.8 B,Turkey,diversified,1111,54,Diversified
Semahat Sevim Arsel,$2.3 B,Turkey,diversified,1362,92,Diversified
Sezai Bacaksiz,$2.3 B,Turkey,diversified,1362,71,Diversified
Mustafa Rahmi Koc,$2.3 B,Turkey,diversified,1362,90,Diversified
Nihat Ozdemir,$2.3 B,Turkey,diversified,1362,71,Diversified
Mustafa Kucuk,$2.1 B,Turkey,fashion retail,1517,57,Fashion & Retail
Ibrahim Erdemoglu,$2 B,Turkey,carpet,1580,58,Manufacturing
Hamdi Ulukaya,$2 B,Turkey,greek yogurt,1580,48,Food & Beverage
Bulent Eczacibasi,$1.9 B,Turkey,"pharmaceuticals, diversified",1664,71,Diversified
Ipek Kirac,$1.9 B,Turkey,diversified,1664,36,Diversified
Faruk Eczacibasi,$1.8 B,Turkey,"pharmaceuticals, diversified",1750,66,Diversified
Ali Erdemoglu,$1.8 B,Turkey,carpet,1750,61,Manufacturing
Husnu Ozyegin,$1.8 B,Turkey,"finance, diversified",1750,76,Finance & Investments
Deniz Sahenk,$1.6 B,Turkey,diversified,1931,75,Diversified
Hamdi Akin & family,$1.5 B,Turkey,diversified,2035,66,Diversified
Ahmet Calik,$1.5 B,Turkey,"energy, banking, construction",2035,63,Diversified
Sefik Yilmaz Dizdar,$1.4 B,Turkey,fashion retail,2141,83,Fashion & Retail
Mehmet Aydinlar,$1.3 B,Turkey,hospitals,2263,64,Healthcare
Turgay Ciner,$1.3 B,Turkey,diversified,2263,65,Diversified
Aydin Dogan,$1.2 B,Turkey,media,2378,84,Media & Entertainment
Mehmet Nazif Gunal,$1.2 B,Turkey,"tourism, construction",2378,73,Diversified
Mehmet Sinan Tara,$1.1 B,Turkey,construction,2524,62,Construction & Engineering
Ahmet Nazif Zorlu,$1.1 B,Turkey,diversified,2524,76,Diversified
Murat Vargi,$1 B,Turkey,telecom,2674,73,Telecom
