Name,NetWorth,Country,Source,Rank,Age,Industry
James Ratcliffe,$17 B,United Kingdom,chemicals,113,68,Manufacturing
Hinduja brothers,$14.9 B,United Kingdom,diversified,133,N/A,Diversified
Michael Platt,$13 B,United Kingdom,hedge funds,164,53,Finance & Investments
James Dyson,$9.7 B,United Kingdom,vacuums,234,73,Manufacturing
Ian & Richard Livingstone,$9.3 B,United Kingdom,real estate,251,58,Real Estate
Anthony Bamford & family,$7.9 B,United Kingdom,construction equipment,311,75,Construction & Engineering
David Reuben,$7.7 B,United Kingdom,"investments, real estate",323,82,Real Estate
Simon Reuben,$7.7 B,United Kingdom,"real estate, investments",323,79,Diversified
Denise Coates,$6.5 B,United Kingdom,online gambling,404,53,Gambling & Casinos
Christopher Hohn,$5.9 B,United Kingdom,hedge funds,472,54,Finance & Investments
Andrew Currie,$5.7 B,United Kingdom,chemicals,486,65,Manufacturing
John Reece,$5.7 B,United Kingdom,chemicals,486,64,Manufacturing
Clive Calder,$5.5 B,United Kingdom,record label,502,74,Media & Entertainment
Joe Lewis,$4.9 B,United Kingdom,investments,574,84,Finance & Investments
Richard Branson,$4.8 B,United Kingdom,Virgin,589,70,Diversified
Peter Hargreaves,$4.2 B,United Kingdom,financial services,680,74,Finance & Investments
Laurence Graff & family,$4.1 B,United Kingdom,diamond jewelry,705,82,Fashion & Retail
Bernard Ecclestone & family,$3.4 B,United Kingdom,Formula One,891,90,Sports
Stephen Rubin,$3.3 B,United Kingdom,sports apparel,925,84,Fashion & Retail
John Caudwell,$3.1 B,United Kingdom,mobile phones,986,68,Telecom
John Coates,$3 B,United Kingdom,online gambling,1008,51,Gambling & Casinos
Tom Morris,$3 B,United Kingdom,retail,1008,66,Fashion & Retail
Maritsa Lazari & family,$2.9 B,United Kingdom,real estate,1064,76,Real Estate
Farhad Moshiri,$2.9 B,United Kingdom,diversified,1064,65,Diversified
Matt Moulding,$2.9 B,United Kingdom,e-commerce,1064,49,Fashion & Retail
Alan Howard,$2.8 B,United Kingdom,hedge funds,1111,57,Finance & Investments
Hilton Schlosberg,$2.8 B,United Kingdom,energy drinks,1111,68,Food & Beverage
Eddie & Sol Zakay,$2.5 B,United Kingdom,real estate,1249,N/A,Real Estate
Michael Ashley,$2.4 B,United Kingdom,sports retailing,1299,56,Fashion & Retail
Mark Coombs,$2.4 B,United Kingdom,finance,1299,60,Finance & Investments
Philip & Cristina Green,$2.4 B,United Kingdom,fashion retail,1299,69,Fashion & Retail
Robert Miller,$2.4 B,United Kingdom,retail,1299,87,Fashion & Retail
Bill and Jean Adderley & family,$2.3 B,United Kingdom,home furnishings,1362,73,Fashion & Retail
David McMurtry,$2.2 B,United Kingdom,manufacturing,1444,80,Manufacturing
Michael Ashcroft,$2.1 B,United Kingdom,security,1517,75,Finance & Investments
Dennis Gillings,$2 B,United Kingdom,drug testing,1580,76,Healthcare
Andrey Andreev,$1.9 B,United Kingdom,online dating,1664,47,Technology
Mark Dixon,$1.9 B,United Kingdom,office real estate,1664,61,Real Estate
Christopher Rokos,$1.9 B,United Kingdom,hedge fund,1664,50,Finance & Investments
John Bloor,$1.8 B,United Kingdom,"real estate, manufacturing",1750,77,Diversified
Saket Burman,$1.7 B,United Kingdom,consumer goods,1833,44,Food & Beverage
Geeta Gupta-Fisker,$1.6 B,United Kingdom,★,1931,46,Automotive
Ian Wood & family,$1.6 B,United Kingdom,energy services,1931,78,Energy
Alex Beard,$1.5 B,United Kingdom,"mining, commodities",2035,53,Metals & Mining
Anthony Langley,$1.5 B,United Kingdom,manufacturing,2035,66,Diversified
Michael Spencer,$1.4 B,United Kingdom,stock exchange,2141,65,Finance & Investments
Richard Desmond,$1.3 B,United Kingdom,publishing,2263,69,Media & Entertainment
Peter Kelly,$1.3 B,United Kingdom,I.T.,2263,63,Technology
Bernard Lewis & family,$1.3 B,United Kingdom,fashion retailer,2263,95,Fashion & Retail
Jasminder Singh & family,$1.3 B,United Kingdom,hotels,2263,70,Real Estate
Simon Nixon,$1.2 B,United Kingdom,price comparison website,2378,53,Technology
Nik Storonsky,$1.2 B,United Kingdom,fintech,2378,36,Technology
Charles Dunstone,$1.1 B,United Kingdom,mobile phones,2524,57,Telecom
Mohammed Ibrahim,$1.1 B,United Kingdom,communications,2524,74,Telecom
David Harding,$1 B,United Kingdom,finance,2674,59,Finance & Investments
Kenneth Lo,$1 B,United Kingdom,textiles,2674,82,Finance & Investments
